page_url,domain,url_matched_for_gallery_page,url_matched_for_page_with_gallery,number_of_images_by_img_src,number_of_images_by_a_href,has_match,total_img_elements_found
https://www.extra.cz/bohyne-s-rodinou-uma-thurman-vzala-na-cerveny-koberec-sve-deti-hollywoodske-hvezde-lezi-karlovy-vary-u-kotniku,www.extra.cz,False,False,0,44,True,79
https://www.frekvence1.cz/tag/supr-telo-za-minutu,www.frekvence1.cz,False,False,28,1,True,108
https://www.blesk.cz/clanek/celebrity-karlovy-vary/611422/bartoska-prozradil-blesku-z-ceho-ma-letos-ve-varech-nejvetsi-starost.html,www.blesk.cz,False,False,0,423,True,466
https://www.reflex.cz/clanek/volby/90366/volby-online-cunek-a-drahos-jsou-senatory-uz-po-prvnim-kole-v-praze-vznika-koalice-bez-vitezne-ods.html,www.reflex.cz,False,False,0,8,True,230
https://www.sport.cz/hokej/nhl/clanek/1114890-historicky-triumf-blues-stanley-cup-v-lete-do-ceska-nezavita.html,www.sport.cz,False,False,6,0,True,100
https://prozeny.blesk.cz/clanek/pro-zeny-recenze-kosmetiky/510441/velky-test-peelingu-po-kterem-je-plet-zariva-a-bez-chyby.html,prozeny.blesk.cz,False,False,0,7,True,57
https://www.televizeseznam.cz/video/na-hadry/hvezdy-a-kocarky-kavalcik-malem-vyklopil-dite-kalivodova-v-podpatkach-a-etzler-neni-idiot-63918357?zobraz=nabidku,www.televizeseznam.cz,True,False,0,0,True,161
https://emefka.sk/otestuj-sa-vies-ktora-animovana-rodinka-ci-postavicka-byva-v-tomto-dome/,emefka.sk,False,False,86,5,True,242
https://www.fashionmagazin.cz/leto-2013-ve-znameni-kolaboraci-znamych-a-jeste-znamejsich/,www.fashionmagazin.cz,False,False,21,2,True,109
https://videacesky.cz/video/that-mitchell-and-webb-look-moreplavec,videacesky.cz,True,False,0,0,True,103
https://www.recepty.cz/recept/pizza-testo-z-pizzerie-5828?_fid=wexv,www.recepty.cz,False,False,0,7,True,910
https://shop.emefka.sk/sk/emefka/?lang=slovak,shop.emefka.sk,False,False,0,9,True,54
https://www.sme.sk/g/131524/sme-sk-pre-android-telefony-a-tablety?gref=https%3A%2F%2Fwww.sme.sk%2Fc%2F6662272%2Fsme-sk-pre-smartfony.html&list=1,www.sme.sk,True,False,0,23,True,17
https://www.vitalia.cz/clanky/test-celozrnneho-peciva/?ic=articles-related&icc=item-6,www.vitalia.cz,False,False,0,15,True,88
